id,loss
4,1011.4404296875
6,1011.4404296875
9,5153.73046875
12,3075.475341796875
15,741.9638671875
17,1175.66259765625
21,1084.5478515625
28,741.9638671875
32,1437.384521484375
43,1487.249755859375
46,1406.7867431640625
50,1011.4404296875
54,741.9638671875
62,1294.952880859375
70,1175.66259765625
71,3075.475341796875
75,1175.66259765625
77,1665.876708984375
81,1011.4404296875
83,1665.876708984375
87,1175.66259765625
97,1587.505126953125
103,1011.4404296875
119,1084.5478515625
120,1011.4404296875
127,1011.4404296875
138,1682.7109375
141,1011.4404296875
148,1011.4404296875
150,2226.95751953125
151,1011.4404296875
158,1011.4404296875
160,3075.475341796875
165,741.9638671875
168,1990.5003662109375
169,1587.505126953125
177,1539.89599609375
178,3075.475341796875
184,1406.7867431640625
194,3075.475341796875
198,1029.260986328125
203,3077.8837890625
211,1011.4404296875
217,741.9638671875
219,741.9638671875
221,1587.505126953125
227,741.9638671875
230,1011.4404296875
235,960.5853271484375
240,741.9638671875
243,1406.7867431640625
249,3911.5546875
253,1710.2845458984375
258,1011.4404296875
261,1011.4404296875
263,1710.2845458984375
264,1175.66259765625
265,2544.912109375
268,1011.4404296875
271,1259.8489990234375
274,3533.7470703125
275,741.9638671875
279,1323.990234375
282,1011.4404296875
286,1819.3585205078125
288,1011.4404296875
294,1175.66259765625
296,741.9638671875
297,1406.7867431640625
300,741.9638671875
303,4052.87353515625
314,1011.4404296875
315,2794.9306640625
321,1011.4404296875
323,3075.475341796875
330,2068.504150390625
341,1771.0755615234375
342,1771.0755615234375
352,1011.4404296875
353,2626.06494140625
360,3413.0419921875
361,1011.4404296875
362,1998.476318359375
366,741.9638671875
372,1858.2655029296875
376,1437.384521484375
377,1011.4404296875
379,741.9638671875
380,2794.9306640625
387,1011.4404296875
392,1437.384521484375
394,5153.73046875
395,741.9638671875
397,1011.4404296875
407,1487.249755859375
411,2579.51806640625
416,1175.66259765625
417,1406.7867431640625
419,1011.4404296875
428,2190.90576171875
431,1011.4404296875
436,3413.0419921875
438,741.9638671875
445,3075.475341796875
446,4249.12109375
455,1406.7867431640625
456,1011.4404296875
461,741.9638671875
463,1011.4404296875
464,2192.60302734375
466,1665.876708984375
467,1011.4404296875
470,741.9638671875
475,1011.4404296875
482,1011.4404296875
490,1771.0755615234375
496,741.9638671875
497,2190.90576171875
508,1011.4404296875
510,741.9638671875
512,1840.8040771484375
513,1771.0755615234375
523,1011.4404296875
531,3413.0419921875
532,1323.990234375
533,915.306396484375
537,960.5853271484375
544,2226.95751953125
547,2626.06494140625
556,3533.7470703125
565,741.9638671875
566,741.9638671875
571,1011.4404296875
573,1324.903564453125
574,741.9638671875
581,1587.505126953125
585,1294.952880859375
589,1998.476318359375
597,1011.4404296875
601,1663.22265625
602,741.9638671875
613,1011.4404296875
616,741.9638671875
619,1029.260986328125
622,1771.0755615234375
623,1438.4759521484375
629,1175.66259765625
634,1011.4404296875
638,741.9638671875
642,741.9638671875
643,1011.4404296875
645,1011.4404296875
648,4249.12109375
652,1011.4404296875
664,1011.4404296875
666,1587.505126953125
672,741.9638671875
676,1084.5478515625
678,1771.0755615234375
682,1011.4404296875
686,2226.95751953125
688,1321.813232421875
689,1011.4404296875
690,1011.4404296875
692,3911.5546875
695,1011.4404296875
697,1998.476318359375
